wine_id,region_id,price,score
37563,51,23,91
40211,51,48,91
44497,51,32,91
8248,214,28,91
53200,296,25,91
17132,192,8,85
32305,214,14,85
68861,214,25,85
70663,357,14,85
76077,284,80,85
53301,51,16,85
37438,214,15,85
41107,51,32,85
59624,214,17,85
65933,284,102,85
77304,51,33,85
81122,284,48,85
107961,51,24,87
16487,253,75,87
18401,11,12,87
30813,51,45,87
30900,71,13,87
19109,51,22,87
48868,51,18,87
57883,51,35,87
60003,51,36,87
64740,51,34,87
70753,51,70,87
71815,51,28,87
77101,51,45,87
85122,51,32,87
200,353,18,87
44883,74,62,92
52456,51,40,92
53961,74,66,92
78742,74,72,92
13003,74,101,92
17628,371,50,92
59487,51,35,92
7766,51,38,92
82359,108,32,90
92274,108,12,90
93590,51,125,90
103750,214,46,90
106159,230,29,90
6861,408,17,90
8471,37,30,90
12482,408,34,90
13491,51,22,90
21386,37,35,90
21982,37,45,90
22127,37,20,90
22825,37,17,90
22841,37,45,90
20482,51,20,90
31216,51,50,90
32968,29,22,90
38235,408,39,90
38240,408,35,90
52522,51,27,90
57505,383,66,90
1385,51,125,90
17423,127,16,90
36097,51,42,90
42375,408,18,86
56689,253,22,86
61818,29,15,86
84625,371,20,86
94475,51,28,86
94608,51,10,86
96990,371,70,86
97062,371,28,86
27438,408,26,86
34781,29,15,86
35274,29,23,86
36332,284,30,86
45670,29,12,86
57478,408,36,86
59884,253,20,86
61123,51,10,86
65538,29,16,86
67216,408,25,86
32203,11,24,90
32280,11,33,90
33862,11,16,90
36532,230,30,90
37901,51,20,90
38146,51,35,90
41443,51,28,90
43212,51,150,90
45897,51,45,90
107272,51,45,90
16438,51,42,90
47838,51,29,90
50263,51,42,90
82395,108,40,90
20955,37,35,90
21585,37,45,90
26160,51,20,90
44853,51,22,90
53141,51,28,90
57373,51,27,90
66322,108,60,90
75314,408,72,90
75440,51,44,90
78449,51,28,90
139,51,29,90
8342,408,58,90
53377,371,29,90
60730,371,45,90
61539,51,70,90
66395,408,39,90
68276,371,28,90
82398,108,50,90
7550,357,22,87
8794,240,10,87
10926,284,50,87
12346,357,30,87
12350,357,18,87
17218,284,39,87
17874,284,35,87
4053,214,30,87
31417,284,50,87
31766,284,50,87
32312,214,15,87
42285,214,12,87
97987,51,20,87
4036,214,175,87
7352,284,60,87
7786,51,20,87
9778,214,15,87
11445,284,35,87
25583,37,14,87
22926,37,16,87
23583,37,15,87
23598,37,14,87
29443,51,55,87
37285,74,38,87
38364,51,34,87
43874,51,17,87
44024,51,65,87
83455,108,13,87
100463,284,23,87
105417,51,40,87
109794,51,32,87
4398,51,15,87
8641,284,50,87
15855,51,24,87
21274,37,18,87
24180,37,20,87
106251,74,40,85
23054,37,11,85
40118,195,17,85
74824,51,19,85
79923,74,15,85
87223,51,23,85
1871,51,35,85
29001,408,30,85
56272,51,17,85
61180,51,16,85
109420,51,15,85
22386,37,10,85
71295,381,41,85
109831,37,10,85
7916,381,16,85
12331,51,25,85
13609,101,12,85
76524,214,20,88
30253,51,12,88
51524,253,16,88
12296,51,42,88
14491,51,48,88
86780,11,20,88
93287,51,125,88
97878,214,20,88
30110,132,25,88
32183,11,28,88
36856,51,42,88
47972,51,60,88
103118,51,22,88
104321,11,10,88
95245,214,15,87
52570,51,16,85
62319,51,10,85
39762,51,12,85
11686,71,11,85
12567,51,16,85
75045,100,20,85
89701,51,38,94
89808,51,34,94
68087,284,57,94
79430,108,150,94
90644,51,52,94
5127,284,180,94
52781,51,85,94
100708,51,38,94
108171,51,58,94
19707,51,80,94
26724,51,75,94
85275,51,28,90
94390,408,15,90
87037,51,19,90
90558,51,40,90
59968,51,45,90
68931,408,13,90
72358,284,22,90
7102,408,35,90
8620,51,20,90
11210,51,38,90
16192,371,70,90
20231,408,15,90
25857,371,38,90
28260,51,10,90
30361,51,56,90
31244,371,18,90
99112,253,16,84
108280,408,40,84
108286,408,20,84
7674,51,38,84
25196,37,20,84
25382,37,18,84
52105,51,65,84
25575,37,14,84
22898,37,20,84
23996,37,15,84
27884,75,11,84
40025,51,27,84
64950,51,100,84
70041,253,25,84
89726,51,13,84
93172,51,28,84
57071,51,11,83
61743,37,12,83
6856,408,17,83
25576,37,30,83
27872,71,11,83
80165,253,45,83
